Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/video/topics/us/us-regions/midwest/arkansas,277.484375,114,text/html
https://www.foxnews.com/entertainment/the-flash-star-ezra-miller-seeks-treatment-for-complex-mental-health-issues-apologizes-for-behavior.amp,157.033203125,269,text/html
https://www.foxnews.com/media/mark-levin-biden-bigoted-racist,210.849609375,327,text/html
https://www.foxnews.com/media/racist-hunter-texts-bidenwhite-privilege-miranda-devine.amp,156.2685546875,273,text/html
https://www.foxnews.com/video/6353828521112,67.2587890625,69,text/html
https://www.foxnews.com/video/6354509746112,66.66015625,74,text/html
https://www.foxnews.com/video/6353601688112,73.826171875,74,text/html
https://www.foxnews.com/person/t/leo-terrell,113.4091796875,324,text/html
https://www.foxnews.com/video/6354208365112,67.5224609375,71,text/html
https://www.foxnews.com/video/6354674567112,73.115234375,75,text/html
https://www.foxnews.com/video/6359697298112,65.9482421875,68,text/html
https://www.foxnews.com/media/fox-nation-reflects-on-former-president-jimmy-carters-faith-having-an-influence.print,112.009765625,78,text/html
https://www.foxnews.com/category/world/conflicts/afghanistan,119.451171875,351,text/html
https://www.foxnews.com/video/6243846859001,68.859375,65,text/html
https://www.foxnews.com/world/top-general-fight-against-taliban-says-afghanistan-has-once-again-become-crucible-terrorism,265.9638671875,338,text/html
